subset,id,label,exactSynonyms,relatedSynonyms,definition,comments,seeAlsos,wikipedia
topic,http://edamontology.org/topic______Deconvolution_widefield_microscopy,Deconvolution widefield microscopy,,,,,,
topic,http://edamontology.org/topic___Fluctuation_based_microscopy,Fluctuation based microscopy,,,,,,
topic,http://edamontology.org/topic___Fluorescence_correlative_spectroscopy,Fluorescence correlation spectroscopy,FCS,,,"FCS measures fluctuations of fluorescence in a volume, providing after analysis physical parameters of the sample such as diffusion coefficient or concentration.",,https://en.wikipedia.org/wiki/Fluorescence_correlation_spectroscopy
topic,http://edamontology.org/topic___Image_correlation_spectroscopy,Image correlation spectroscopy,ICS,,,,,
topic,http://edamontology.org/topic______Fluorescence,Fluorescence,,,,,,
topic,http://edamontology.org/topic______Image_Scanning_Microscopy,Image scanning microscopy,ISM,,,,,
topic,http://edamontology.org/topic______Airyscan,Airyscan,,,,,,
topic,http://edamontology.org/topic______Re-scan_confocal_microscopy,Re-scan confocal microscopy,"RCM, Rescan",,,,,
topic,http://edamontology.org/topic______Photoablation,Photoablation,,,,This technique allows the selective cutting of parts of samples without thermal damage.,,
topic,http://edamontology.org/topic______Ratiometric_imaging,Ratiometric imaging,,,,,,
topic,http://edamontology.org/topic__R7Vn7GbwtqVvGWNAMGdcNW1,Point-scanning microscopy,,,,Microscopy techniques relying on the point by point imaging of the entire sample. This is typically performed with point illumination of the sample.,,
topic,http://edamontology.org/topic__R9P5gEAm1wic4R2PcZ7ZpPA,Transmission light microscopy,,,,Techniques in microscopy in which the sample is placed between the illumination source and the observer or recording device.,,
topic,http://edamontology.org/topic______Phase_imaging,Phase imaging,,,,,,https://en.wikipedia.org/wiki/Ptychography
topic,http://edamontology.org/topic______Quantitative_phase_imaging,Quantitative phase imaging,,,,,,https://en.wikipedia.org/wiki/Quantitative_phase-contrast_microscopy
topic,http://edamontology.org/topic__RBsSZve5PnQFO3scMDWo9f0,Array-based detection microscopy,,,,,,
topic,http://edamontology.org/topic_____Interferometric_microscopy,Interferometric microscopy,,,,,,"https://en.wikipedia.org/wiki/Interference_reflection_microscopy, https://en.wikipedia.org/wiki/Interferometric_microscopy"
topic,http://edamontology.org/topic_____Interferometric_microscopy,Interferometric microscopy,,,,,,"https://en.wikipedia.org/wiki/Interference_reflection_microscopy, https://en.wikipedia.org/wiki/Interferometric_microscopy"
topic,http://edamontology.org/topic_____Light_field_microscopy,Light field microscopy,,,,,,https://en.wikipedia.org/wiki/Light_field_microscopy
topic,http://edamontology.org/topic_____Non-linear_microscopy,Non-linear microscopy,,,,,,
topic,http://edamontology.org/topic_____Second-harmonic_imaging_microscopy,Second-harmonic imaging microscopy,"SHIM, Second harmonic generation (SHG)",,,,,
topic,http://edamontology.org/topic______Photomanipulation,Photomanipulation,,,,,,
topic,http://edamontology.org/topic______Laser_microdissection,Laser microdissection,,,,,,https://en.wikipedia.org/wiki/Laser_capture_microdissection
topic,http://edamontology.org/topic______Photoactivation,Photoactivation,,,,,,https://en.wikipedia.org/wiki/Photoactivatable_fluorescent_protein
topic,http://edamontology.org/topic______Stereoscopy,Stereoscopy,,,,Stereoscopy is a non-digital technique creating the illusion of depth in an image.,,https://en.wikipedia.org/wiki/Stereoscopy
topic,http://edamontology.org/topic_____Force_microscopy,Force microscopy,,,,,,
topic,http://edamontology.org/topic_____Photon_force_microscopy,Photonic force microscopy,PFM,,,,,https://en.wikipedia.org/wiki/Photonic_force_microscope
topic,http://edamontology.org/topic_____Traction_force_microscopy,Traction force microscopy,,,,,,https://en.wikipedia.org/wiki/Traction_force_microscopy
topic,http://edamontology.org/topic______Self-adjusting_microscopy,Adaptive microscopy,,,,,Intelligent microscopy uses artificial intelligence; smart microscopy is using a defined algorithm to adapt microscope configuration or imaging parameters. (Robert Haase & consensus),
topic,http://edamontology.org/topic__RBHw300pzIYcttGsAmIZvk5,Ultrasonography,"Medical ultrasound, diagnostic sonography",,,,,"https://en.wikipedia.org/wiki/Medical_ultrasound, https://en.wikipedia.org/wiki/Medical_ultrasound"
topic,http://edamontology.org/topic__RBNoPZIOvBhdWGe8mFNpoWQ,Fixed sample imaging,,,,Imaging of biological tissues preserved by chemicals or temperature.,,https://en.wikipedia.org/wiki/Fixation_(histology)
topic,http://edamontology.org/topic__RBfI2XgIsxcfKonPPluKAhK,Spectroscopy,,,,"Spectroscopy refers to the study of how radiated energy and matter interact. The energy is absorbed by the matter, creating an excited state. The interaction creates some form of electromagnetic waves (EM), often in the form of visible light, such as sparks.

Spectrometry deals with the measurement of a specific spectrum; essentially the application of spectroscopy so that there are quantifiable results that can then be assessed.",,https://en.wikipedia.org/wiki/Spectroscopy
topic,http://edamontology.org/topic_0593,Nuclear magnetic resonance spectroscopy,NMR,,,,,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance_spectroscopy
topic,http://edamontology.org/topic_____Mass_spectrometry_imaging,Mass spectrometry imaging,"MSI, MSI",,,,,"https://en.wikipedia.org/wiki/MALDI_imaging, https://en.wikipedia.org/wiki/Mass_spectrometry_imaging"
topic,http://edamontology.org/topic_____Mass_spectrometry_imaging,Mass spectrometry imaging,"MSI, MSI",,,,,"https://en.wikipedia.org/wiki/MALDI_imaging, https://en.wikipedia.org/wiki/Mass_spectrometry_imaging"
topic,http://edamontology.org/topic______Fourier-transform_infrared_spectroscopy,Fourier-transform infrared spectroscopy,FTIR,,,,,https://en.wikipedia.org/wiki/Fourier-transform_infrared_spectroscopy
topic,http://edamontology.org/topic__RDvZSyRAcr8fonKvKdVoXw2,Bioluminescence imaging,"BLI, BLI",,,Recording of native light emission by organism expressing a light emitting molecule.,,"http://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C62655, https://en.wikipedia.org/wiki/Bioluminescence_imaging"
topic,http://edamontology.org/topic__RL4rPCXlIu9uzNrGcbcSNp,Live sample imaging,,,,"imaging of samples in conditions that keeps them alive, allowing the study of dynamic changes.",,https://en.wikipedia.org/wiki/Live_cell_imaging
topic,http://edamontology.org/topic__R7WRbf9Y8ySw9QWPwAjzcUa,In-vitro imaging,,,,Imaging of tissues fixed or kept in physiological but artificial conditions.,,https://en.wikipedia.org/wiki/In_vitro
topic,http://edamontology.org/topic__R8XUtD89JCyeUaaVebe9Mkw,In-vivo imaging,,,,imaging in the living body of a plant or an animal,,https://en.wikipedia.org/wiki/In_vivo
topic,http://edamontology.org/topic_____Intravital_imaging,Intravital imaging,,,,"Imaging of live processes performed within living animals, typically by multi-photon imaging techniques.",,"http://bioportal.bioontology.org/ontologies/MESH/?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FMESH%2FD000069416, https://en.wikipedia.org/wiki/Intravital_microscopy"
topic,http://edamontology.org/topic__RB4unXFUWvdBe91ihVAA9rR,Ex-vivo imaging,,,,,,https://en.wikipedia.org/wiki/Ex_vivo
topic,http://edamontology.org/topic____Multimodal_imaging,Multimodal imaging,"Multisensor imaging, Multisensor imaging",,,,"Utilizing different imaging modalities in combination, Utilizing different imaging modalities in combination","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19341, http://purl.bioontology.org/ontology/MESH/D064847"
topic,http://edamontology.org/topic______Imaging_flow_cytometry,Imaging flow cytometry,IFC,,,,,
topic,http://edamontology.org/topic______Medical_imaging,Medical imaging,,,,,,
topic,http://edamontology.org/topic______Molecular_Imaging,Molecular imaging,,,,,,
topic,http://edamontology.org/topic______Phase_Contrast_X-Ray_Imaging,Phase-contrast X-ray imaging,PCI,,,,,https://en.wikipedia.org/wiki/Phase-contrast_X-ray_imaging
